,keys,values
704,bar,392
1508,tom,390
317,list,388
563,may,387
163,crash,386
1568,light,386
1072,eland,385
1045,rand,385
651,even,381
1627,arson,380
49,fires,380
68,bot,378
648,shire,377
147,aha,376
867,uni,375
458,thing,374
566,yon,372
1531,hail,372
1886,tali,370
925,leg,370
2095,bra,366
797,scream,366
586,state,363
895,cut,362
183,hit,362
1444,gas,360
410,lip,360
247,bad,360
135,wave,352
257,dead,345
482,work,345
245,bet,345
1350,rent,344
396,ices,342
1542,pres,340
975,bro,340
3613,demon,340
851,hell,332
1031,troy,332
404,sky,330
224,yin,326
146,get,326
3160,forest,324
699,rap,324
460,cor,324
473,west,322
1121,fan,318
1528,rep,316
377,tea,309
762,terr,308
4377,dale,308
1062,ems,306
211,try,306
1379,stage,306
1120,mus,304
206,ember,304
679,till,304
308,sand,300
687,aft,300
186,wee,298
48,wild,298
2205,aka,297
23,exp,296
983,house,295
890,odd,294
1691,rush,292
2401,weapon,292
1197,break,290
513,lane,288
857,aye,288
596,hand,288
418,led,288
3727,water,288
779,could,288
578,ally,287
2656,mud,284
1387,ref,284
1219,view,282
530,lab,280
5552,drought,280
728,pea,279
3,quake,279
989,esp,278
5526,refugees,276
129,aid,276
1804,nuclear,276
917,bang,276
682,game,275
311,lone,270
189,girl,270
4179,collide,268
222,lag,268
415,know,266
3417,explode,266
673,rob,264
2559,flame,264
2097,ratio,262
979,look,262
2366,anger,261
3207,demo,261
40,lac,261
2653,gee,261
1015,char,261
269,head,261
3247,hurricane,260
1003,pit,260
6,eds,258
968,etc,258
74,date,258
666,ward,258
94,tree,256
31,vac,252
2313,rage,248
603,nee,246
1061,pet,246
517,sum,244
333,gland,243
1456,fed,243
697,elf,242
962,high,240
929,mod,238
571,fin,238
1293,tack,237
4537,station,237
1617,miss,237
374,mate,236
119,build,236
203,blaze,236
7441,quarantine,234
6209,fatal,232
347,put,231
338,east,231
1537,lion,230
792,reg,228
114,building,226
184,last,226
427,onto,224
219,akin,224
447,bout,223
118,emerge,222
289,tel,222
2583,watch,222
3332,cue,221
1108,ball,220
526,yer,220
1566,lapse,220
292,want,220
1000,come,220
7141,sunk,219
785,read,218
433,mac,216
283,ante,216
945,wreck,214
1323,nation,214
2997,cos,212
412,hear,212
1377,ages,212
213,eta,212
694,self,210
1450,post,208
305,stat,208
3792,derail,207
863,plane,206
1152,weather,204
1690,loud,204
1258,food,204
3345,siren,202
2741,wounded,201
907,elan,201
3426,hazard,200
1029,tech,200
3285,collapse,200
655,dad,200
853,first,200
336,night,200
812,face,200
1284,old,199
386,late,198
802,cream,198
1954,lav,198
7124,nick,198
748,wing,198
749,oil,196
204,ark,196
833,think,196
510,lock,196
1469,log,195
772,ope,194
2884,wall,192
134,heat,192
11,near,192
864,airplane,192
2777,drown,191
1641,attack,191
149,days,190
1707,mail,190
2061,spa,189
373,gun,188
251,lice,187
7669,screams,186
873,deb,186
382,train,186
368,rate,186
1732,lines,185
1811,clear,185
674,still,184
1670,aria,184
730,eon,183
14,ask,183
1814,suicide,182
763,best,182
532,turn,180
982,call,180
910,camp,180
1667,fail,178
1399,dies,177
354,ship,176
690,pain,176
668,sue,176
484,talk,175
778,many,172
1347,hoe,172
348,shot,172
658,rev,172
200,ablaze,171
725,sec,170
5389,detonate,170
4865,floods,170
2560,flames,168
365,nah,168
1610,hop,168
477,mark,168
56,ska,168
2325,jam,168
177,ski,168
1676,ray,168
1010,two,166
335,yea,166
173,goo,166
476,mid,165
689,inf,165
1174,inst,164
1440,rough,164
1662,death,164
1461,aged,163
1036,fight,162
1416,nos,162
351,fore,162
670,sure,162
2218,eye,160
241,dos,160
100,cause,160
6229,fatalities,160
1543,press,159
1252,slam,159
350,eff,159
806,book,159
542,vol,158
1269,fun,156
1043,ought,156
2994,bags,156
6720,hijack,156
1965,sex,155
1987,mun,155
1578,natural,152
527,tee,152
1737,rick,152
3858,failure,152
371,good,152
1161,story,150
6736,hijacker,150
862,pert,150
1574,army,150
1100,wed,150
1485,chat,150
4527,vast,150
558,rang,150
1203,main,148
1262,foo,148
949,craft,148
4056,slide,147
299,follow,147
1688,destroy,147
2102,elect,147
789,rot,146
1354,cur,146
3743,evacuate,145
2259,cute,145
1901,info,145
375,hard,144
1059,tit,144
522,injury,144
4759,deaths,144
1478,rip,144
515,help,144
630,change,144
4085,lug,144
153,count,144
2389,sound,144
1607,hope,144
1499,host,143
337,every,141
1178,opp,141
202,hole,141
795,murder,140
370,och,140
362,ears,140
3985,collapsed,140
1358,soon,140
2400,weapons,140
2013,rite,138
2651,tragedy,136
1106,mind,136
6916,inundated,136
5465,devastation,136
4020,cliff,136
757,free,135
796,guy,135
6168,famine,134
37,lace,134
2283,made,134
15,ores,133
2742,wound,133
122,hap,133
3706,volcano,132
6782,hostages,130
1752,report,130
1746,melt,130
440,orc,130
2124,arch,130
1361,poo,129
38,place,129
1649,tab,129
185,eek,129
1274,destruction,128
4854,deluge,128
1017,service,128
1251,rock,128
1816,bombing,127
966,thou,127
4407,crush,127
465,meth,126
856,rim,126
516,summer,126
7832,stretcher,126
661,road,126
1196,stone,126
326,next,126
212,ways,126
104,woo,126
4510,cyclone,126
6758,hostage,124
2802,lightning,124
6971,sinkhole,124
965,trauma,124
4278,rescued,124
3280,survive,124
4626,wounds,124
1385,start,124
5756,electrocute,123
4193,thunder,123
523,vice,122
8179,twister,122
271,cop,122
345,hip,121
2104,bio,121
349,home,121
2676,pay,120
1438,name,120
2447,cake,120
7134,meltdown,120
528,law,120
1404,snow,120
1218,shin,120
1243,survivors,120
2751,rah,120
3378,riot,120
573,room,120
1751,lame,118
769,show,118
2041,battle,118
1532,saw,117
886,cont,117
579,wait,117
55,photo,116
187,week,116
4985,demolish,115
1413,rum,114
3154,threat,114
1938,pat,114
2074,young,114
1738,sty,114
632,mine,113
1624,peace,112
3749,casual,112
3975,chemical,112
1184,zone,112
1896,vent,112
8373,windstorm,112
2029,pine,111
1505,point,111
159,riv,111
1964,avalanche,111
1278,annihilation,111
2299,bell,110
1076,lake,110
5921,tsunami,110
784,bit,110
488,kid,110
7486,razed,110
587,erst,109
502,test,109
279,sou,108
318,rack,108
773,nut,108
791,fit,108
598,div,108
4950,deluged,108
1998,fall,107
7271,obliterate,107
2652,fug,107
2368,blazing,106
3174,lava,106
1006,fear,105
959,rally,105
4702,grant,104
2591,blight,104
2905,strike,104
1740,music,104
236,round,103
685,gram,102
823,stand,102
27,office,102
717,econ,102
110,happen,102
1417,sat,102
1553,pal,102
775,haw,102
1935,lies,102
1462,rub,102
144,getting,102
330,nigh,101
1362,child,100
2668,blizzard,100
703,sic,100
580,tell,100
6546,hailstorm,100
5217,desolation,100
5449,devastated,100
5043,demolition,100
2625,hie,99
2027,pines,99
234,ares,98
2115,ops,98
1741,pot,98
2889,bed,97
636,going,97
627,hang,97
366,lack,97
564,ruck,97
1533,yes,96
830,mini,96
758,ants,96
2064,space,96
1913,media,96
3396,sac,96
493,icy,96
861,need,96
1719,nice,96
5175,desolate,96
3730,ache,96
1232,case,96
1635,organ,95
575,able,95
298,gain,95
207,met,95
878,comp,94
663,killed,93
2836,effect,93
1094,pass,92
3346,sirens,92
2087,tent,92
5456,mouth,91
1378,feel,91
1166,lent,91
43,fie,91
4253,rains,91
576,rib,91
927,god,90
3217,true,90
6289,nun,90
89,area,90
291,chin,90
698,moon,90
453,witter,90
1091,hate,90
2190,health,90
1807,warn,90
255,cam,89
7891,bomber,88
866,union,88
5455,typhoon,88
722,came,88
2484,eyes,88
2416,word,88
971,little,88
1088,rise,88
5740,seismic,88
1861,yet,87
549,pill,87
1878,sim,87
804,omen,87
249,tow,87
1817,mosque,87
372,team,87
70,due,87
1033,fig,87
2351,soc,86
233,around,86
1064,hour,86
2886,blow,85
353,right,85
1840,injured,85
614,lob,84
2311,early,84
977,phone,84
1313,pun,84
913,official,84
2369,zing,84
1012,wide,84
1463,rod,84
2014,deal,84
1911,black,84
51,wildfire,83
1001,lance,83
525,jury,82
2120,pond,82
951,raft,82
1967,key,82
1446,take,82
2105,sport,82
461,cord,82
1025,bury,81
1169,human,81
2706,lure,81
1519,cap,80
2274,pool,80
649,fuck,80
4167,cost,80
2981,harm,79
3095,laced,79
5639,sinking,79
4221,collided,78
677,obi,78
1123,sons,78
5,earth,78
2405,sad,78
1271,part,78
1077,dog,78
1183,wen,78
3098,placed,78
684,aftershock,78
1648,link,78
562,mom,78
4597,actor,78
3389,ruin,77
1442,lays,77
1477,beat,76
2191,outbreak,76
2882,shop,76
1382,stages,76
4971,migrants,76
6134,eyewitness,76
1845,force,75
3139,vest,75
2209,women,75
570,truck,75
192,pas,75
544,rte,75
3996,spill,74
8453,wrecked,74
871,debris,74
2179,power,74
5112,railed,74
518,person,74
3275,dust,74
980,looks,74
30,evacuation,73
62,smoke,73
512,cent,73
4233,injuries,73
3760,rated,73
551,ping,73
1005,ambulance,73
5939,gulf,73
331,least,72
2458,bleed,72
700,step,72
4411,awn,72
709,avid,72
2655,refugee,72
419,tonight,72
497,imp,72
1302,please,72
1195,hunt,72
3959,vet,72
2763,danger,72
462,box,72
973,etch,71
3974,mica,71
897,job,70
807,boo,70
2636,dot,70
7121,mayhem,70
3184,bombed,70
3879,military,70
2781,winds,70
5109,derailed,70
5940,engulfed,70
736,mph,70
1955,tweet,70
2459,bleeding,70
3511,content,70
870,beg,70
7855,structural,69
126,torn,69
84,flooding,69
4393,update,69
970,crashed,69
6169,memories,69
2122,respond,69
1749,business,69
329,used,68
2079,daily,68
130,tornado,68
1686,destroyed,68
2328,cans,68
6016,evacuated,68
5054,witness,68
7449,quarantined,68
1338,full,68
660,explosion,68
835,trap,68
7178,mudslide,67
2885,blown,67
5785,electrocuted,67
3794,derailment,67
801,bloody,67
314,burned,67
4458,curfew,67
8,earthquake,67
5616,drowned,67
272,hank,66
1873,terrorist,66
3742,affected,66
259,outs,66
1042,thought,66
3714,isl,66
3142,song,66
1735,things,66
3614,nag,66
1140,safe,66
961,alley,66
1163,hist,66
1891,nothing,66
3381,rioting,65
1301,sign,65
226,lad,65
4047,flat,65
3799,insurance,65
1494,oat,65
5347,survived,65
2132,hold,64
2710,bbl,64
1774,court,64
1053,kills,64
1661,chem,64
359,years,64
6135,yew,64
4079,trapped,64
2346,blue,64
788,really,63
1238,survivor,63
1944,needs,63
2524,blew,63
565,wish,63
974,etcher,63
2536,sag,63
3505,displace,62
3023,bagging,62
3695,murderer,62
176,cool,62
3870,twist,62
7396,panicking,62
6080,exploded,62
5962,screamed,62
848,done,62
1855,def,62
1512,add,61
4057,landslide,61
3308,react,61
8330,whirlwind,61
3746,casualties,61
5240,trouble,61
229,much,60
5657,drowning,60
6402,flattened,60
8209,upheaval,60
4372,roe,60
766,roll,60
2067,ships,60
1771,green,60
1628,rut,60
486,doe,60
1902,wars,60
90,uses,60
1905,attacked,60
693,fur,60
2648,gate,60
4509,clone,60
718,member,60
1101,annihilate,60
3504,displaced,59
4018,ponder,59
3848,catastrophe,59
1097,annihilated,59
1159,violent,59
967,though,59
2358,beau,58
459,something,58
799,screaming,58
611,stop,58
3021,families,58
1074,park,58
297,lower,58
712,base,58
1093,walk,58
1775,earl,57
588,traffic,57
1501,coach,57
417,pee,57
2618,gene,57
1595,sting,57
4296,collision,57
4019,ponders,57
406,upon,57
3445,tors,57
6750,hijacking,57
6811,massacre,57
7241,reactor,57
2519,pile,57
1953,tweets,56
702,moo,56
29,expect,56
1857,fen,56
2989,aux,56
1712,local,56
1075,said,56
1937,thy,56
4421,crushed,56
747,shooting,56
1291,mans,56
638,support,56
2404,raze,56
1483,prob,56
7466,rainstorm,55
5026,demolished,55
1034,lord,54
2175,sour,54
691,fort,54
686,shock,54
1490,sense,54
1312,soul,54
1352,ova,54
63,school,54
2005,band,54
75,lose,54
838,never,54
2081,playing,54
840,thank,54
2213,network,54
1268,pick,54
6274,fatality,54
1506,tomorrow,54
1359,apocalypse,53
1792,cove,53
190,friend,53
843,everyone,53
1343,allow,53
4191,thunderstorm,52
1364,another,52
4706,dun,52
1736,trick,52
1827,blast,52
6643,hazardous,52
3462,confirm,52
3017,table,52
1795,cover,52
2361,mix,52
5298,security,52
1373,gust,52
7294,obliterated,52
815,diff,52
7319,obliteration,51
2126,search,51
920,lore,51
6775,wreckage,51
2112,hog,51
1018,services,51
1242,form,51
3793,casualty,51
490,ids,50
1154,horror,50
1028,ales,50
656,sly,50
2864,brook,50
139,died,50
543,lvi,50
172,fast,50
3009,find,50
193,past,50
266,site,50
868,found,50
7800,snowstorm,50
5540,hundreds,50
932,friends,50
2307,hair,50
1761,cant,50
926,ends,49
841,great,49
420,shots,48
1767,slim,48
2363,oms,48
3829,film,48
1186,fact,48
2355,seat,48
1470,rue,48
2776,cum,48
472,laying,48
933,cow,48
2378,bow,48
3771,woman,48
1589,cod,48
1398,bodies,48
2152,pack,48
1841,reading,48
3165,baby,48
2316,lei,48
1060,mum,48
2357,beautiful,48
2406,lady,48
1756,sines,47
1692,arsonist,47
664,issue,47
610,chest,47
6441,trench,46
750,owing,46
3440,tip,46
3481,alarm,46
723,second,46
133,far,46
1762,move,46
175,coo,46
4701,migrant,46
36,order,46
4962,image,46
4975,rants,46
7355,pandemonium,46
1024,lean,46
3736,catastrophic,46
2370,arty,46
1344,pub,46
2515,tam,45
1602,vat,45
4285,sick,45
1980,rose,45
2428,bull,45
1380,itch,45
1885,mental,45
3313,burgh,45
2721,dry,45
1431,movie,45
2632,racy,45
1828,bun,45
1339,public,45
2066,pace,44
474,market,44
1433,scare,44
2011,role,44
1419,liked,44
1969,zen,44
1165,since,44
2266,broke,44
400,heart,44
4876,stock,44
2151,liver,44
2842,money,44
1772,drink,44
741,cry,44
1787,graph,44
2731,idea,44
646,flow,44
1599,children,44
4974,grants,43
1876,release,43
1342,away,43
1411,versa,43
132,coming,43
507,enter,42
1555,middle,42
2732,morning,42
4198,tube,42
3311,epic,42
3991,stead,42
117,cross,42
2789,favor,42
2295,level,42
278,south,42
4083,crisis,42
2566,chm,42
1697,sub,42
3284,hall,42
547,dell,42
1920,trans,42
6701,hellfire,42
1576,white,42
1368,apt,41
2649,open,41
3307,homes,41
1307,pleas,41
1170,whole,41
1612,ads,41
1551,rope,41
208,always,41
593,rave,41
1888,says,41
3162,carry,40
310,alone,40
1608,gains,40
107,hill,40
3705,bush,40
3076,sell,40
1436,latest,40
782,ready,40
4685,born,40
2300,jay,40
378,happy,40
4122,cola,40
1360,poor,40
3333,rescuers,40
1160,history,40
1909,mess,40
3745,affect,40
4153,animal,40
987,ital,39
900,family,39
1142,safety,39
1867,damn,39
908,four,39
809,teen,39
239,seas,39
1504,based,39
2481,keep,39
1590,lead,39
2284,wanna,39
7628,sandstorm,39
1198,cast,39
2903,cloud,39
898,gonna,38
829,lest,38
1300,save,38
150,lost,38
752,shoo,38
2176,pow,38
1820,aim,38
1410,mount,38
2241,git,38
76,close,38
2349,social,38
599,half,38
7593,rubble,38
3029,north,38
2222,pretty,38
5413,detonation,37
2611,load,37
3295,missing,37
1175,went,36
1117,map,36
1631,author,36
650,fucking,36
1947,iii,36
5061,fair,36
1968,core,36
3819,bound,36
1141,pull,36
290,wanted,36
2010,bay,36
369,lib,36
3650,hero,36
3798,course,36
1986,worth,36
2579,skin,36
4039,capture,36
1135,sorry,36
4277,confirmed,36
3192,jet,36
1976,bum,36
3720,seem,36
731,also,36
3325,tore,36
3109,send,36
751,shoot,35
1510,morrow,35
1276,total,35
1615,earn,35
4697,reds,35
1889,atom,34
2334,covered,34
4048,sleep,34
2489,foot,34
652,drive,34
934,mode,34
1848,okay,34
1405,mountain,34
6963,inundation,34
1970,piece,34
808,tire,34
4600,charge,34
3159,small,34
1520,rule,34
625,term,34
2454,ground,34
3091,wash,34
756,guess,34
3245,worse,34
4380,laugh,34
3768,alb,34
1471,logy,34
1230,plain,34
1764,nap,34
1892,group,33
2138,abs,33
1721,aura,33
692,gets,33
1946,chill,33
1515,yrs,33
3596,caused,33
3214,rude,33
438,mean,33
608,left,33
1250,project,33
733,someone,33
1486,girls,33
500,poss,33
759,mew,33
1912,male,33
443,pens,33
408,arts,33
196,sale,32
1877,released,32
3170,bath,32
2592,fighting,32
3140,investigating,32
2391,sounds,32
708,rice,32
1441,dark,32
1222,review,32
3531,sports,32
2974,escape,32
783,prov,32
3011,better,32
3216,hale,32
3323,likely,32
1945,answer,32
209,heavy,32
793,behind,32
2188,bug,32
4199,tub,32
1112,meet,32
1214,bear,32
4707,debate,32
7442,offensive,32
2016,mile,32
595,travel,32
1723,tau,32
1668,plot,32
2692,butt,32
680,heard,32
1862,dding,31
2478,allowed,31
501,kids,31
1884,atomic,31
1086,rust,31
3626,tun,31
1147,must,31
7892,detonated,31
732,using,31
716,remember,31
2107,longer,31
4400,user,30
1427,doc,30
1468,goes,30
3321,store,30
2342,writ,30
1393,question,30
1282,action,30
6170,crematoria,30
822,dream,30
3246,wick,30
1899,event,30
265,awesome,30
2874,irk,30
986,shes,30
556,scene,30
754,actual,30
1402,gins,30
2604,deep,30
2689,fans,30
2348,yeah,30
4564,hid,30
315,leave,30
629,plans,30
1932,unit,30
1310,without,30
1146,river,30
572,final,29
1299,tron,29
3175,anniversary,29
824,belie,29
1559,stern,29
1502,fighter,29
9,give,29
2667,special,29
2965,account,28
995,wake,28
6078,peg,28
3141,invest,28
3016,style,28
1236,lain,28
1448,queen,28
2522,words,28
669,sci,28
1452,joy,28
491,possible,28
1137,eater,28
2296,living,28
1044,saying,28
358,wife,28
2082,games,28
1643,ilia,28
3807,heaven,28
577,horrible,28
5211,hundred,28
1910,feeling,28
2762,bean,28
4058,boat,28
844,making,28
2052,throw,28
1394,quest,27
5734,fest,27
906,suspect,27
2417,dish,27
1341,hours,27
2892,doll,27
1626,control,27
1802,mill,27
2911,crew,27
2913,fly,27
1113,arks,27
1836,issues,27
1972,signs,27
1659,auk,27
6570,policy,27
2174,tens,27
3305,nearby,27
1009,eared,27
836,void,27
1794,edit,27
2103,transport,27
2829,amen,27
2580,talking,27
1369,radio,27
2293,grand,27
1720,anything,26
4414,brother,26
1085,trust,26
1008,helicopter,26
2340,computer,26
3131,design,26
2372,stay,26
4874,fund,26
3252,pilot,26
1959,dig,26
4022,bill,26
2017,chase,26
214,bring,26
2895,wow,26
2338,stuff,26
2860,suppose,26
3360,lives,26
1054,medic,26
2488,fashion,26
1371,trad,26
1407,angel,26
2797,poll,26
1514,tax,26
1168,aware,26
58,sent,26
540,ported,26
3238,dict,26
3105,mall,25
2376,owl,25
261,inside,25
1386,kind,25
1517,cape,25
3123,bigger,25
262,outside,25
1632,rug,25
560,range,25
1881,trying,25
2769,national,25
469,else,25
3893,motion,25
2189,heal,25
1934,cab,25
33,officer,25
1800,tans,25
969,victim,25
760,actually,25
4108,guard,24
248,tend,24
3121,lour,24
2350,biz,24
3661,downtown,24
3057,spot,24
667,gang,24
2818,mare,24
641,tail,24
6753,china,24
4603,charged,24
2603,searching,24
3583,cold,24
2756,shoes,24
1931,target,24
985,ashes,24
179,wonder,24
5631,nay,24
416,fill,24
4662,castle,24
2622,matter,24
1660,heme,24
1647,linked,24
675,disc,24
2936,bud,24
1642,squad,24
399,others,24
3922,become,24
817,wrong,24
355,six,24
1682,pore,24
1082,number,24
787,already,24
1621,urban,24
1914,meh,24
1047,luck,24
2863,sitting,24
1709,forget,24
2929,web,24
850,shell,24
446,month,24
6210,slaughter,24
1511,pad,24
1261,coma,24
2436,dud,24
1475,probably,24
1283,sold,24
4856,feed,24
852,drew,24
6268,projected,24
1303,share,24
3369,large,24
2049,hunting,24
509,center,24
3490,remain,24
2394,waves,24
3348,serve,24
5348,porn,24
464,hood,23
1102,nigga,23
1346,nix,23
2146,problem,23
837,avoid,23
1426,front,23
1202,tone,23
1742,makes,23
2092,interest,23
915,govern,23
876,begin,23
511,block,23
1098,aces,23
1872,tries,22
250,cars,22
4540,dress,22
912,government,22
1095,clean,22
590,cyclist,22
672,comment,22
3171,pact,22
3478,mages,22
1129,educ,22
859,layer,22
1495,sens,22
1727,pop,22
4139,learn,22
2554,univ,22
2374,grade,22
2617,eight,22
904,iron,22
2734,morn,22
976,believe,22
5117,updates,22
42,resident,22
1768,hats,22
1430,inning,22
998,sister,22
2521,reason,22
1002,egg,22
316,track,22
2398,inch,22
1940,guys,22
481,hug,22
7344,costlier,22
3122,pics,22
3837,millions,22
3030,hilly,22
1525,prepare,22
3526,stream,22
1564,hart,22
3087,amid,22
3624,understand,22
3570,spark,22
3065,window,22
618,harlot,22
1547,series,22
4803,wart,21
1646,caught,21
1585,whit,21
3237,crews,21
4796,data,21
1650,politics,21
1480,club,21
2414,temp,21
1019,comes,21
1939,path,21
4951,tons,21
1936,worst,21
1004,spit,21
1801,million,21
2945,watching,21
2791,alp,21
1580,twit,21
1007,feared,21
1467,oft,21
1603,board,21
2523,wise,21
3347,ooh,21
1392,called,21
3484,tips,21
1150,country,21
225,lade,21
2480,parent,21
818,tween,21
3012,berg,21
1611,tony,21
2294,wolf,20
7448,banned,20
4445,stun,20
574,finally,20
3887,company,20
3891,emotion,20
3568,reek,20
4263,horn,20
538,turned,20
5418,quote,20
1294,format,20
2794,lox,20
2062,fleet,20
5101,information,20
1329,guide,20
3353,cops,20
2277,looking,20
1320,reed,20
1217,seen,20
1997,tum,20
3094,fax,20
1420,planet,20
5508,jab,20
3787,desk,20
943,might,20
939,almost,20
4721,shape,20
301,grow,20
4715,shh,20
1424,ending,20
1996,fully,20
4523,dotcom,20
1766,beast,20
2407,screen,20
2263,agree,20
3287,shall,20
1367,science,20
5027,jar,20
2343,computers,20
2360,tap,20
2446,bitch,20
3523,evil,20
3690,race,20
71,closed,20
2979,armed,20
1481,trip,20
2365,guns,20
2130,page,20
3856,continue,19
3458,reported,19
1241,complete,19
1292,formation,19
514,locked,19
2977,eaten,19
98,street,19
1209,feat,19
2106,anthrax,19
274,taking,19
1813,warning,19
2412,roof,19
5452,declaration,19
2193,super,19
948,freak,19
3116,size,19
1435,cared,19
1995,inner,19
1376,kit,19
1309,check,19
2109,mishaps,19
875,exam,19
594,ride,19
4963,quiz,19
2108,mishap,19
1208,phis,19
4647,appears,19
2068,occur,19
2046,added,18
3924,door,18
1928,slims,18
4562,region,18
3911,tug,18
2168,dumb,18
2744,dona,18
1210,corp,18
644,happened,18
5545,parents,18
2672,buy,18
238,season,18
4097,buck,18
4827,mart,18
2220,running,18
1548,extremely,18
2390,icky,18
5094,khan,18
2661,smith,18
6107,rocks,18
2638,result,18
882,sylvan,18
2004,origin,18
1562,class,18
2688,rolling,18
1144,driver,18
2693,cook,18
3548,coffee,18
2055,metro,18
3007,omens,18
120,across,18
2715,brown,18
4243,mesh,18
3713,tiny,18
1818,claim,18
1315,unis,18
1157,prom,18
7001,bred,18
4650,specially,18
3423,crow,18
3071,riff,18
4524,pitch,18
2541,literally,18
383,xis,18
2832,everything,18
7540,picking,18
5260,mania,18
3415,oak,18
432,route,18
1041,crazy,18
4529,sued,18
2859,gay,18
582,pis,18
1706,leak,18
2110,germs,18
3826,stein,18
3656,anon,18
2319,fighters,18
1073,vela,18
7095,decision,18
2135,mitt,18
3512,setts,18
5185,hub,18
4355,floor,18
1308,nature,18
5501,cinema,18
3448,differ,17
7225,radiation,17
1322,voice,17
1977,create,17
3146,drop,17
1561,asp,17
2755,stress,17
5121,passenger,17
2327,thousand,17
1677,pray,17
4769,hew,17
552,risk,17
1207,minute,17
3406,outrage,17
1317,major,17
5404,sage,17
3528,ouch,17
1488,online,17
3774,glad,17
2474,write,17
1148,entire,17
1753,reports,17
1037,couple,17
2695,utter,17
1319,mention,17
3283,bis,16
4937,stories,16
3700,stupid,16
1708,stem,16
825,youth,16
7440,communities,16
4226,named,16
