,keys,values
1486,high,"[('\x89ûapocalypse', 1), ('rt', 1), ('spirit', 2), ('mountain', 2), ('short', 2), ('readingapocalypse', 2), ('angel', 2), ('top', 2), ('ourmothermary', 1), ('took', 2), ('enormous', 2), ('httptcovaftdzezapocalypse', 1), ('ms+++++', 2), ('httptcoaphqusvetblazing', 1), ('\x89û', 2), ('httptcoiubafdxey', 1), ('cameo', 2), ('morgan', 2), ('grade', 2), ('gem', 2), ('read', 2), ('blazing', 2), ('dmpl', 2), ('full', 2), ('rev', 2), ('dollar', 2), ('silver', 2), ('bu', 2), ('httptcomkbqwior', 1), ('httptcowrjrfksblazing', 1), ('cant', 1), ('stressful', 1), ('decisionsondecisionsblood', 1), ('mid', 1), ('believe', 1), ('life', 1), ('blood', 1), ('pressure', 1), ('people', 2), ('dont', 2), ('women', 1), ('bag', 1), ('body', 1), ('cross', 1), ('qualit', 1), ('httptcozgjgghdurfbodybags', 1), ('clutch', 1), ('shoulder', 1), ('ladies', 1), ('designer', 1), ('messenger', 1), ('handbags', 1), ('bags', 1), ('handbag', 1), ('dropped', 1), ('country', 1), ('banthebombhttptcogywwsqjbombing', 1), ('ground', 1), ('atomic', 1), ('claiming', 1), ('one', 3), ('bombs', 1), ('moral', 1), ('hiroshima', 1), ('burning', 2), ('buildings', 2), ('skies', 1), ('httptcouvqikx', 1), ('nowplayingbuildingsburning', 1), ('amp;', 3), ('buildingsburning', 1), ('httptcowrbxdwycroydon', 1), ('crowds', 1), ('next', 1), ('day', 1), ('street', 1), ('cornercroydonizationaugust', 1), ('riots', 1), ('reeves', 1), ('httptcorptvfuhx', 1), ('reach', 1), ('httptconpckktleqcasualties', 1), ('civilian', 1), ('afghanistan', 1), ('record', 1), ('casualties', 1), ('iowa', 1), ('school', 6), ('asked', 1), ('high\x89û\x9dcollapsed', 1), ('pancakes', 1), ('collapsed', 1), ('said', 1), ('city', 1), ('\x89ûïthehighfessions', 1), ('came', 1), ('friend', 1), ('blastedi', 1), ('shanghai\x89ûªs', 1), ('fashioncollide', 1), ('gucci', 1), ('httptcomkrxqzehmy', 1), ('collide', 2), ('popular', 1), ('fashion', 2), ('commercial', 1), ('chosen', 1), ('avenue', 1), ('food', 2), ('httptcoqdhxtoemcollide', 1), ('crush', 5), ('bestfriends', 1), ('yourboyshawncrush', 1), ('httpstcoanwcf', 1), ('via', 1), ('ron', 1), ('youtubecrush', 1), ('daves', 1), ('fez', 1), ('bouta', 1), ('im', 2), ('moe', 1), ('fridayscrush', 1), ('vibe', 1), ('went', 1), ('mrrobinson', 1), ('teacher', 1), ('students', 1), ('looks', 1), ('giving', 1), ('girl', 2), ('thesteveharveyshow', 1), ('music', 1), ('even', 2), ('lolcrush', 1), ('realize', 1), ('curfew', 1), ('theyre', 1), ('graduated', 1), ('really', 1), ('still', 1), ('extremely', 1), ('yeah', 1), ('gonna', 1), ('thedamage', 1), ('get', 1), ('u', 1), ('damage', 1), ('want', 1), ('bradleybrad', 1), ('fast', 1)]"
1487,mountain,"[('\x89ûapocalypse', 1), ('rt', 1), ('spirit', 2), ('high', 2), ('short', 2), ('readingapocalypse', 2), ('angel', 2), ('top', 2), ('ourmothermary', 1), ('took', 2), ('enormous', 2), ('httptcovaftdzezapocalypse', 1), ('burning', 1), ('protestburningbuildings', 1), ('buildings', 1), ('like', 1), ('individuals', 1), ('stone', 1), ('theyre', 1), ('protest', 1), ('looting', 1), ('rally', 1), ('store', 1), ('atleast', 1), ('ha', 1), ('kidding', 1), ('amp;', 1), ('im', 1), ('groom', 1), ('cliff', 1), ('ever', 1), ('httptcoioryakonclifffall', 1), ('edge', 1), ('bride', 1)]"
1489,angel,"[('\x89ûapocalypse', 1), ('rt', 1), ('spirit', 2), ('high', 2), ('mountain', 2), ('short', 2), ('readingapocalypse', 2), ('top', 2), ('ourmothermary', 1), ('took', 2), ('enormous', 2), ('httptcovaftdzezapocalypse', 1), ('saynae', 1), ('arsonarson', 1)]"
1492,enormous,"[('\x89ûapocalypse', 1), ('rt', 1), ('spirit', 2), ('high', 2), ('mountain', 2), ('short', 2), ('readingapocalypse', 2), ('angel', 2), ('top', 2), ('ourmothermary', 1), ('took', 2), ('httptcovaftdzezapocalypse', 1)]"
1491,took,"[('\x89ûapocalypse', 1), ('rt', 1), ('spirit', 2), ('high', 2), ('mountain', 2), ('short', 2), ('readingapocalypse', 2), ('angel', 2), ('top', 2), ('ourmothermary', 1), ('enormous', 2), ('httptcovaftdzezapocalypse', 1), ('organized', 1), ('attend', 1), ('thousands', 1), ('attack', 1), ('httptcobvckdpdtiarson', 1), ('rally', 1), ('life', 1), ('peace', 1), ('arson', 1), ('protesting', 1), ('wanna', 1), ('niggas', 1), ('blaze', 1), ('made', 1), ('motivationblaze', 1), ('hate', 1), ('time', 1), ('life', 1), ('n', 1), ('dedication', 1), ('crazy', 1), ('dey', 1), ('amazin', 1), ('fastfuriousblewup', 1), ('pulled', 1), ('hw', 1), ('motor', 1), ('keeping', 1), ('side', 1), ('told', 1), ('lolol', 1), ('exit', 1), ('blew', 1), ('going', 1), ('dude', 1), ('way', 1), ('expectedcasualty', 1), ('longer', 1)]"
1488,readingapocalypse,"[('\x89ûapocalypse', 1), ('rt', 1), ('spirit', 2), ('high', 2), ('mountain', 2), ('short', 2), ('angel', 2), ('top', 2), ('ourmothermary', 1), ('took', 2), ('enormous', 2), ('httptcovaftdzezapocalypse', 1)]"
1490,ourmothermary,"[('\x89ûapocalypse', 1), ('rt', 1), ('spirit', 1), ('high', 1), ('mountain', 1), ('short', 1), ('readingapocalypse', 1), ('angel', 1), ('top', 1), ('took', 1), ('enormous', 1)]"
1485,spirit,"[('\x89ûapocalypse', 1), ('rt', 1), ('high', 2), ('mountain', 2), ('short', 2), ('readingapocalypse', 2), ('angel', 2), ('top', 2), ('ourmothermary', 1), ('took', 2), ('enormous', 2), ('httptcovaftdzezapocalypse', 1), ('musiccheckall', 1), ('girlcheckdream', 1), ('checkhappy', 1), ('intactcrushed', 1), ('disillusioned', 1), ('character', 1), ('go', 1), ('free', 1), ('life', 1), ('crushedcheckgreat', 1), ('crowe', 1), ('tropes', 1), ('lead', 1), ('lucky', 1)]"
7736,landing,"[('\x89û', 1), ('family', 6), ('knobhead', 1), ('bin', 6), ('plane', 6), ('neileastwood', 1), ('crashed', 6), ('avoiding', 6), ('httptcoduvuzhmvutcrashed', 1), ('microlight', 6), ('laden', 6), ('far', 5), ('runway', 5), ('members', 2), ('three', 2), ('httptcomfjxhpucrashed', 1), ('uk', 1), ('httptcofqjsqulgcrashed', 1), ('rochdale', 1), ('heywoodcrashed', 1), ('httptcotucglmgvr', 1), ('gt;', 1), ('httptcoxmdhocpdacrashed', 1), ('news', 2), ('todays', 1), ('httptcobumzvmwamcrashed', 1), ('ttw', 1)]"
7737,httptcoduvuzhmvutcrashed,"[('\x89û', 1), ('family', 1), ('knobhead', 1), ('bin', 1), ('plane', 1), ('neileastwood', 1), ('crashed', 1), ('landing', 1), ('avoiding', 1), ('microlight', 1), ('laden', 1)]"
7735,neileastwood,"[('\x89û', 1), ('family', 1), ('knobhead', 1), ('bin', 1), ('plane', 1), ('crashed', 1), ('landing', 1), ('avoiding', 1), ('httptcoduvuzhmvutcrashed', 1), ('microlight', 1), ('laden', 1)]"
7734,knobhead,"[('\x89û', 1), ('family', 1), ('bin', 1), ('plane', 1), ('neileastwood', 1), ('crashed', 1), ('landing', 1), ('avoiding', 1), ('httptcoduvuzhmvutcrashed', 1), ('microlight', 1), ('laden', 1)]"
5487,babiesbuildingsburning,"[('zourryart', 1), ('burning', 1), ('buildings', 1), ('forgot', 1), ('add', 1), ('screaming', 1)]"
5486,forgot,"[('zourryart', 1), ('burning', 1), ('buildings', 1), ('add', 1), ('screaming', 1), ('babiesbuildingsburning', 1)]"
4640,ovo,"[('ziphimupbodybagging', 1), ('bagging', 1), ('body', 1), ('drake', 1), ('straight', 1), ('ovofest', 1), ('meek', 1), ('stage', 1)]"
4641,ovofest,"[('ziphimupbodybagging', 1), ('bagging', 1), ('body', 1), ('drake', 1), ('straight', 1), ('ovo', 1), ('meek', 1), ('stage', 1)]"
5826,httpstcoxysdnxzburning,"[('zionism', 1), ('burning', 1), ('stop', 1), ('leader', 1), ('babies', 1)]"
7117,linecollapsed,"[('zimbabwe', 1), ('government', 1), ('country', 1), ('live', 1), ('collapsed', 1), ('many', 1), ('ruled', 1), ('poverty', 1), ('dictator', 1)]"
7119,dictator,"[('zimbabwe', 1), ('government', 1), ('country', 1), ('linecollapsed', 1), ('live', 1), ('collapsed', 1), ('many', 1), ('ruled', 1), ('poverty', 1)]"
7118,ruled,"[('zimbabwe', 1), ('government', 1), ('country', 1), ('linecollapsed', 1), ('live', 1), ('collapsed', 1), ('many', 1), ('poverty', 1), ('dictator', 1)]"
5049,turkish,"[('zergele', 1), ('civilians', 1), ('village', 1), ('st', 1), ('woundedbombed', 1), ('jets', 1), ('august', 1), ('qendil', 1), ('killed', 1), ('others', 1), ('bombed', 1)]"
5052,qendil,"[('zergele', 1), ('civilians', 1), ('village', 1), ('st', 1), ('turkish', 1), ('woundedbombed', 1), ('jets', 1), ('august', 1), ('killed', 1), ('others', 1), ('bombed', 1)]"
5051,jets,"[('zergele', 1), ('civilians', 1), ('village', 1), ('st', 1), ('turkish', 1), ('woundedbombed', 1), ('august', 1), ('qendil', 1), ('killed', 1), ('others', 1), ('bombed', 1)]"
5050,woundedbombed,"[('zergele', 1), ('civilians', 1), ('village', 1), ('st', 1), ('turkish', 1), ('jets', 1), ('august', 1), ('qendil', 1), ('killed', 1), ('others', 1), ('bombed', 1)]"
5048,village,"[('zergele', 1), ('civilians', 1), ('st', 1), ('turkish', 1), ('woundedbombed', 1), ('jets', 1), ('august', 1), ('qendil', 1), ('killed', 1), ('others', 1), ('bombed', 1)]"
953,httptcomdnugvubwn,"[('yugvaniambulance', 1), ('ambulance', 1), ('pakistani', 1), ('reuters', 1), ('crash', 1), ('helicopter', 1), ('feared', 1), ('killed', 1), ('air', 1), ('twelve', 1)]"
1588,httptcoqouxigdtbzarmageddon,"[('youve', 1), ('movie', 1), ('ever', 1), ('armageddon', 1), ('best', 1), ('seen', 1)]"
472,click,"[('youve', 1), ('httptcorsljqfp', 1), ('crashgt;httptcolduniywkaccident', 1), ('fortworth', 1), ('truckcrash', 1), ('overturns', 1), ('interstate', 1)]"
1531,httptcotngyefklv,"[('youtubeapocalypse', 1), ('via', 1), ('amp;', 1), ('minecraft', 1), ('apocalypse', 1), ('showcase', 1), ('popularmmos', 1), ('block', 1), ('wither', 1), ('lucky', 1), ('bob', 1), ('night', 1), ('mod', 1)]"
6983,dogg,"[('youtube', 1), ('collapsecollapse', 1), ('feat', 1), ('nate', 1), ('till', 1), ('eminem', 1), ('httptcobmqecpja', 1), ('liked', 1), ('video', 1)]"
6984,nate,"[('youtube', 1), ('collapsecollapse', 1), ('feat', 1), ('dogg', 1), ('till', 1), ('eminem', 1), ('httptcobmqecpja', 1), ('liked', 1), ('video', 1)]"
6985,eminem,"[('youtube', 1), ('collapsecollapse', 1), ('feat', 1), ('dogg', 1), ('nate', 1), ('till', 1), ('httptcobmqecpja', 1), ('liked', 1), ('video', 1)]"
6986,httptcobmqecpja,"[('youtube', 1), ('collapsecollapse', 1), ('feat', 1), ('dogg', 1), ('nate', 1), ('till', 1), ('eminem', 1), ('liked', 1), ('video', 1)]"
3512,stab,"[('youll', 1), ('one', 1), ('promise', 1), ('bleedingbleeding', 1), ('back', 1), ('like', 1), ('theres', 1), ('blood', 1), ('deep', 1), ('everwheblood', 1), ('big', 1), ('wasnt', 1)]"
3949,fairxx,"[('youblizzard', 1), ('blizzard', 1), ('playoverwatch', 1), ('love', 1), ('blizzardcs', 1), ('please', 1)]"
3546,uptownjorge,"[('yo', 1), ('nose', 1), ('like', 1), ('bleedingbleeding', 1), ('head', 1)]"
3572,facebleeding,"[('yo', 1), ('lets', 1), ('youre', 1), ('see', 1), ('soccer', 1), ('good', 1), ('bleeding', 1)]"
3571,soccer,"[('yo', 1), ('lets', 1), ('youre', 1), ('see', 1), ('facebleeding', 1), ('good', 1), ('bleeding', 1), ('notblownup', 1), ('walls', 1), ('moms', 1), ('ezralevant', 1), ('getting', 1), ('bedroom', 1), ('someone', 1), ('told', 1), ('blown', 1), ('pic', 1), ('put', 1), ('daughters', 1)]"
3594,fastblewup,"[('yo', 1), ('damnaarielle', 1), ('damn', 1), ('blew', 1), ('timeline', 1)]"
3137,itblaze,"[('yes', 1), ('shayoly', 1), ('love', 1)]"
3279,guns,"[('yes', 1), ('blaze', 1), ('blazinghinatobotblazing', 1), ('im', 1), ('master', 1), ('lets', 1), ('go', 1), ('weapons', 1), ('wait', 1), ('cake', 1), ('mariaf', 1), ('bitch', 1), ('charles', 1), ('blazing', 1), ('funkylilshack', 1), ('worth', 1), ('full', 1), ('want', 1), ('slapping', 1), ('showdown', 1), ('throwing', 1), ('pretty', 1), ('probably', 1), ('glue', 1), ('burned', 1), ('away', 1), ('one', 1), ('stay', 1), ('hot', 1), ('finger', 1), ('badburned', 1)]"
233,better,"[('year', 3), ('quite', 1), ('used', 1), ('wear', 1), ('first', 1), ('retainers', 1), ('get', 2), ('it;', 1), ('every', 1), ('single', 1), ('next', 1), ('leastablaze', 1), ('night', 1), ('weird', 1), ('wanna', 1), ('cage', 1), ('body', 2), ('bagbodybag', 1), ('dealing', 1), ('im', 1), ('bruh', 1), ('trjdavis', 1), ('bro', 1), ('youre', 1), ('meet', 1), ('find', 1), ('fight', 1), ('end', 1), ('ones', 1), ('bagging', 1), ('mics', 1), ('togetherbodybagging', 1), ('feeling', 1), ('stage', 1), ('day', 1), ('friendships', 1), ('seeing', 1), ('still', 1), ('burning', 1), ('kids', 1), ('thinks', 1), ('old', 1), ('httptcowpvbhhoqburning', 1), ('one', 1), ('man', 1), ('taking', 1), ('parents', 1), ('emotional', 1), ('like', 1), ('total', 1), ('tweets', 1), ('make', 1), ('pisces', 1), ('sound', 1), ('catastrophecatastrophe', 1), ('need', 1), ('done', 1), ('httpstcoyrbegzafxcatastrophic', 1), ('catastrophic', 1), ('look', 1), ('flooding', 1), ('rain', 1), ('our\x89û', 1), ('abysmaljoiner', 1), ('k', 1), ('would', 1), ('works', 1), ('cyclone', 1), ('dyamiplotke', 1), ('purpose', 1), ('large', 1), ('mccauleysdesign', 1), ('dont', 1)]"
240,next,"[('year', 3), ('quite', 1), ('used', 1), ('wear', 1), ('better', 1), ('first', 1), ('retainers', 1), ('get', 1), ('it;', 1), ('every', 1), ('single', 1), ('leastablaze', 1), ('night', 1), ('weird', 1), ('protect', 2), ('meltdown', 1), ('profit', 2), ('wiedemer', 1), ('aftershock', 2), ('http', 1), ('httptcowztzhgmvqaftershock', 1), ('financial', 4), ('david', 1), ('global', 2), ('book', 1), ('httptcofntuczesquireattireaftershock', 1), ('gt;gt;', 1), ('whats', 1), ('everyone', 1), ('apocalypse', 1), ('started', 1), ('disease', 1), ('hot', 1), ('today', 1), ('radio', 1), ('shes', 1), ('played', 1), ('carefulapocalypse', 1), ('kinda', 1), ('amp;', 2), ('oth', 1), ('contries', 1), ('shud', 1), ('share', 1), ('terrorists', 1), ('evidence', 1), ('give', 1), ('httpstcoqiopbtiuvuattack', 1), ('use', 1), ('attackshare', 1), ('pakthey', 1), ('india', 1), ('new', 1), ('httptconruzhrxquavalanche', 1), ('jerseys', 1), ('avalanche', 1), ('possible', 1), ('cant', 1), ('wbcblewup', 1), ('went', 2), ('stop', 1), ('fun', 1), ('gambit', 1), ('control', 1), ('anakin', 1), ('oh', 1), ('droid', 1), ('blew', 1), ('queens', 1), ('ship', 1), ('well', 1), ('still', 1), ('shaker', 2), ('httptcowyoktftrwblight', 1), ('house', 2), ('fight', 2), ('heights', 2), ('blight', 2), ('cleveland', 2), ('door', 2), ('httptcoetkdunn', 1), ('httptcolrelvrmwblight', 1), ('ra', 1), ('thing', 1), ('al', 1), ('ghul', 1), ('escaped', 1), ('know', 1), ('blown', 1), ('back', 1), ('life', 1), ('ablownup', 1), ('hopefulbatgirl', 1), ('beaten', 1), ('brought', 1), ('burning', 1), ('buildings', 1), ('buildingsburning', 1), ('high', 1), ('httptcowrbxdwycroydon', 1), ('crowds', 1), ('day', 1), ('street', 1), ('cornercroydonizationaugust', 1), ('riots', 1), ('reeves', 1), ('katiecool', 1), ('th', 1), ('actually', 1), ('casualty', 1), ('began', 1), ('september', 1), ('yearscasualty', 1), ('marks', 1), ('scriptettesar', 1), ('btw', 1), ('lifetime', 1), ('school', 2), ('catastrophic', 1), ('change', 1), ('student', 1), ('also', 1), ('excited', 1), ('climate', 1), ('ensuing', 1), ('years', 1), ('debt', 1), ('warned\x89û\x9d', 1), ('weren\x89ûªt', 1), ('via', 1), ('grtvnewscrash', 1), ('say', 2), ('httpstcopqcmqchng', 1), ('don\x89ûªt', 1), ('\x89ûïyou', 1), ('crash', 2), ('wall\x89û\x9d', 1), ('\x89ûïthe', 1), ('writing', 2), ('werent', 1), ('warned', 1), ('httptcohldxabacrash', 1), ('wall', 1), ('dont', 1), ('freefrom', 1), ('family', 1), ('like', 1), ('curfewcurfew', 1), ('may', 1), ('damn', 1), ('best', 1), ('obligations', 1), ('ill', 1)]"
